ROWNUM;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;AddressUNOM;Point X;Point Y;GLOBALID;
11;"ГБУЗ ГП № 11 ДЗМ";"Юго-Западный административный округ";"Ломоносовский район";"119331";"улица Кравченко, дом 14";"Резанцева Наталья Павловна";"главный врач";"женский";"(499) 138-00-09";"(499) 138-04-66; (499) 138-04-55";"(499) 138-13-10";"GP11@uzaomed.ru";"действует";"";"";"";"согласно прейскуранта на все виды деятельности с учетом лицензии";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.51769";"55.679042";"84269249";
12;"ГБУЗ ГП № 11 филиал № 3 ДЗМ";"Юго-Западный административный округ";"Гагаринский район";"119296";"Университетский проспект, дом 9";"Белопольский Александр Александрович";"исполняющий обязанности заведующего филиалом";"мужской";"(495) 938-00-56";"(495) 938-00-56";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.548129";"55.696379";"84269250";
13;"ГБУЗ ГП № 115 ДЗМ";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"123308";"улица Демьяна Бедного, дом 8";"Сучков Андрей Викторович";"исполняющий обязанности главного врача";"мужской";"(499) 191-50-14";"(499) 191-50-14";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.488025";"55.772185";"84269251";
14;"ГБУЗ ГП № 115 филиал № 1 ДЗМ";"Северо-Западный административный округ";"район Щукино";"123098";"улица Маршала Новикова, дом 14, корпус 1";"Рамнёнок Татьяна Викторовна";"заведующий филиалом";"женский";"(499) 193-54-22";"(499) 193-54-22";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.462189";"55.805041";"84269252";
15;"ГБУЗ ГП № 115 филиал № 2 ДЗМ";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"123103";"проспект Маршала Жукова, дом 64, корпус 1";"Пирожкова Галина Юрьевна";"заведующий филиалом";"женский";"(495) 947-67-81";"(495) 947-67-81";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.457789";"55.778925";"84269253";
16;"ГБУЗ ГП № 115 филиал № 3 ДЗМ";"Северо-Западный административный округ";"район Покровское-Стрешнево";"125362";"улица Долгова, дом 1, корпус 4";"Гаврилов Виктор Евгеньевич";"заведующий филиалом";"мужской";"(495) 491-14-59";"(495) 491-14-59";"(495) 491-14-59";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.455826";"55.829704";"84269254";
17;"ГБУЗ ГП № 115 филиал № 4 ДЗМ";"Северо-Западный административный округ";"район Щукино";"123060";"улица Маршала Бирюзова, дом 30";"Касьянов Виталий Григорьевич";"главный врач";"мужской";"(499) 194-07-94";"(499) 194-07-94";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.485538";"55.797969";"84269255";
18;"ГБУЗ ГП № 12 ДЗМ";"Северо-Восточный административный округ";"район Марфино";"127276";"улица Академика Комарова, дом 5, корпус 1";"Курняева Марина Витальевна";"главный врач";"женский";"(495) 619-09-10";"(495) 619-29-25";"(495) 619-10-91";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд от м. Владыкино авт. № 76, 85, 24; м.ВДНХ, тролл. №9, 36, 37, 73.";"";"37.595238";"55.829697";"84269256";
19;"ГБУЗ ГП № 12 филиал № 1 ДЗМ";"Северо-Восточный административный округ";"Алексеевский район";"129301";"улица Касаткина, дом 7";"Назарова Раиса Викторовна";"заведующий филиалом";"женский";"(495) 683-18-24";"(495) 683-18-24";"(495) 682-91-80";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.657133";"55.825101";"84269257";
20;"ГБУЗ ГП № 12 филиал № 2 ДЗМ";"Северо-Восточный административный округ";"Останкинский район";"129515";"улица Цандера, дом 9";"Тупицын Дмитрий Вячеславович";"заведующий филиалом";"мужской";"(495) 683-43-95";"(495) 683-43-90";"";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.62997";"55.819268";"84269258";
21;"ГБУЗ ГП № 12 филиал № 3 ДЗМ";"Северо-Восточный административный округ";"Останкинский район";"129085";"улица Бочкова, дом 5, корпус 3";"Ветохина Татьяна Николаевна";"заведующий филиалом";"женский";"(495) 615-81-88";"(495) 616-68-47";"(495) 616-68-47";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.631597";"55.809553";"84269259";
22;"ГБУЗ ГП № 12 филиал № 4 ДЗМ";"Северо-Восточный административный округ";"Бутырский район";"127254";"улица Гончарова, дом 6А";"Кучиц Сергей Сергеевич";"заведующий филиалом";"мужской";"(495) 618-40-47";"(495) 618-40-47";"(495) 619-93-55";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд от м. Тимирязевская, авт. № 12";"";"37.591163";"55.81486";"84269260";
23;"ГБУЗ ГП № 12 филиал № 5 ДЗМ";"Северо-Восточный административный округ";"район Марьина Роща";"127521";"9-й проезд Марьиной Рощи, дом 8А";"Алескерова Надежда Григорьевна";"заведующий филиалом";"женский";"(495) 618-60-56";"(495) 618-91-79; (495) 602-66-90";"(495) 618-60-56";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.611997";"55.801605";"84269261";
24;"ГБУЗ ГП № 129 ДЗМ";"Центральный административный округ";"Басманный район";"105005";"Ладожская улица, дом 4/6";"Шарина Наталья Евгеньевна";"исполняющий обязанности главного врача";"женский";"(499) 263-04-29";"(499) 261-98-71; (499) 265-37-47";"(499) 263-04-29";"info@gp129.mosgorzdrav.ru";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.681427";"55.771135";"84269262";
25;"ГБУЗ ГП № 134 ДЗМ";"Юго-Западный административный округ";"район Ясенево";"117574";"Новоясеневский проспект, дом 24, корпус 2";"Кузнецова Надежда Александровна";"главный врач";"женский";"(495) 422-11-11";"(495) 422-01-56; (495) 422-11-11";"(495) 422-11-11; (495) 422-11-12";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.529724";"55.605146";"84269263";
26;"ГБУЗ ГП № 134 филиал № 3 ДЗМ";"Юго-Западный административный округ";"район Тёплый Стан";"117465";"улица Теплый Стан, дом 13, корпус 2";"Вышегуров Яхья Хаджибикарович";"главный врач";"мужской";"(495) 338-80-00";"(495) 338-71-44";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.488865";"55.62386";"84269264";
27;"ГБУЗ КДП № 121 филиал № 1 ДЗМ";"Юго-Западный административный округ";"район Южное Бутово";"117042";"Плавский проезд, дом 3";"Борзенков Сергей Александрович";"заведующий филиалом";"мужской";"(499) 793-05-45";"(499) 793-06-54";"";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.534695";"55.548995";"84269265";
28;"ГБУЗ КДП № 121 филиал № 3 ДЗМ";"Юго-Западный административный округ";"район Южное Бутово";"117623";"2-я Мелитопольская улица, дом 13, корпус 1";"Трость Александр Владимирович";"заведующий филиалом";"мужской";"(495) 712-63-63";"(495) 712-60-72; (495) 712-60-81";"(495) 712-63-62";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.577188";"55.537038";"84269266";
29;"ГБУЗ ГП № 11 филиал № 4 ДЗМ";"Юго-Западный административный округ";"район Тёплый Стан";"119421";"улица Новаторов, дом 5";"Вытегоров Владимир Алексеевич";"заведующий филиалом";"мужской";"(495) 936-40-36";"(495) 936-40-36";"(495) 936-40-36";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.526608";"55.663505";"84269267";
30;"ГБУЗ КДП № 121 филиал № 4 ДЗМ";"Юго-Западный административный округ";"район Северное Бутово";"117216";"Коктебельская улица, дом 6, строение 1";"Джумаян Артак Рафикович";"исполняющий обязанности заведующего филиалом";"мужской";"(495) 711-11-63";"(495) 711-15-18";"(495) 711-83-13";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.581511";"55.567935";"84269268";
31;"ГБУЗ ГП № 166 ДЗМ";"Южный административный округ";"район Орехово-Борисово Северное";"115551";"Домодедовская улица, дом 9";"Околот Наталья Владимировна";"главный врач";"женский";"(495) 343-35-40";"(495) 392-01-54";"(495) 343-35-40";"";"действует";"";"";"";"Выдача медицинских справок: 1. О допуске к управлению транспортным средством; 2. Для продления или приобретения лицензии на право ношения оружия.";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.708807";"55.612235";"84269269";
32;"ГБУЗ ГП № 166 филиал № 1 ДЗМ";"Южный административный округ";"район Царицыно";"115304";"Ереванская улица, дом 23, строение 1";"Герасимов Валерий Викторович";"заместитель главного врача";"мужской";"(495) 321-09-92";"(495) 325-39-07";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.676672";"55.629192";"84269270";
33;"ГБУЗ ГП № 166 филиал № 2 ДЗМ";"Южный административный округ";"район Царицыно";"115516";"Кавказский бульвар, дом 45";"Кессель Михаил Михайлович";"исполняющий обязанности заведующего филиалом";"мужской";"(495) 325-58-97";"(495) 322-18-55; (499) 218-18-29";"(495) 325-58-97";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.650446";"55.627624";"84269271";
