ROWNUM;FullName;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;POINT_X;POINT_Y;GLOBALID;
11;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 12 филиал № 2 Городской психиатрической больницы № 13 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 12 филиал № 2 ПБ № 13 ДЗМ";"Юго-Восточный административный округ";"район Лефортово";"111020";"Юрьевский переулок, дом 20";"Пащенко Надежда Юрьевна";"заведующий филиалом";"женский";"(495) 360-91-04";"(495) 360-31-35";"(495) 360-42-23";"info@pnd12.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.71778";"55.764248";"85130966";
12;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 13 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 13 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Юго-Западный административный округ";"район Черёмушки";"117209";"Зюзинская улица, дом 1";"Вологжанина Галина Алексеевна";"заведующий филиалом";"женский";"(499) 120-22-55";"(499) 120-05-62";"(499) 125-72-95";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.578586";"55.666891";"85130967";
13;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 14 филиал № 3 Психиатрической больницы № 3 имени В. А. Гиляровского Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 14 филиал № 3 ПБ № 3 им. В. А. Гиляровского ДЗМ";"Центральный административный округ";"Тверской район";"127473";"Селезнёвская улица, дом 20";"Загиев Валерий Васильевич";"заведующий филиалом";"мужской";"(499) 972-14-74";"(499) 268-89-76";"(499) 972-14-74";"info@pnd14.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.606319";"55.780352";"85130968";
14;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 15 филиал № 4 Психиатрической больницы № 3 имени В. А. Гиляровского Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 15 филиал № 4 ПБ № 3 имени В. А. Гиляровского ДЗМ";"Центральный административный округ";"Басманный район";"101000";"Армянский переулок, дом 3-5, строение 4";"Курмышев Марат Витальевич";"заведующий филиалом";"мужской";"(499) 268-04-16; (495) 628-74-18";"(495) 623-58-53";"(495) 628-74-18";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: До ст. метро ""Чистые пруды"" по левой стороне от метро по Мясницкой улице до Банковского переулка далее на Армянский переулок прямо";"37.636875";"55.760771";"85130969";
15;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 16 филиал № 2 Психиатрической клинической больницы № 15 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 16 филиал № 2 ПКБ № 15 ДЗМ";"Северо-Восточный административный округ";"район Ростокино";"129226";"улица Докукина, дом 18, корпус 1";"Зязин Юрий Иванович";"заведующий филиалом";"мужской";"(499) 187-94-09";"(499) 181-00-82; (499) 181-22-87";"(499) 187-94-09";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.648932";"55.84375";"85130970";
16;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 17 филиал Психиатрической клинической больницы № 4 имени П. Б. Ганнушкина Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 17 филиал ПКБ № 4 им. П. Б. Ганнушкина ДЗМ";"Северо-Западный административный округ";"район Покровское-Стрешнево";"125362";"улица Свободы, дом 24/9";"Бычкова Лидия Ивановна";"заведующий филиалом";"женский";"(495) 490-15-31";"(495) 491-11-25";"(495) 491-31-88";"info@pnd17.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.454684";"55.834431";"85130971";
17;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 18 филиал № 2 Психиатрической больницы № 14 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 18 филиал № 2 ПБ № 14 ДЗМ";"Южный административный округ";"район Москворечье-Сабурово";"115522";"Пролетарский проспект, дом 4";"Мамошин Андрей Игоревич";"заведующий филиалом";"мужской";"(495) 325-39-20";"(499) 324-04-70";"(499) 323-63-44";"info@pnd18.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. «Кантемировская», авт. 164, 220, ост. «Студ. Городок»; м. «Каширская», авт. 220, 164.";"37.65573";"55.646996";"85130972";
18;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 19 филиал № 3 Психиатрической клинической больницы № 15 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 19 филиал № 3 ПКБ № 15 ДЗМ";"Северо-Восточный административный округ";"район Лианозово";"127572";"Алтуфьевское шоссе, дом 149, строение 2";"Кайзер Олег Васильевич";"заместитель главного врача";"мужской";"(499) 209-54-00";"(499) 209-54-01";"(499) 209-54-00";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.584201";"55.909318";"85130973";
19;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 20 филиал № 3 Городской психиатрической больницы № 13 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 20 филиал № 3 ПБ № 13 ДЗМ";"Юго-Восточный административный округ";"район Кузьминки";"109462";"Волжский бульвар, дом 27, корпус 4";"Пономарева Татьяна Германовна";"заведующий филиалом";"женский";"(499) 179-31-81";"(499) 179-17-12";"(499) 179-33-43";"pnd20@mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.754036";"55.703684";"85130974";
20;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 21 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 21 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Центральный административный округ";"район Якиманка";"119180";"улица Малая Полянка, дом 9, строение 2";"Ванштейн Александр Эдуардович";"главный врач";"мужской";"(495) 952-87-91";"(495) 952-87-91";"";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.617207";"55.734375";"85130975";
21;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 22 Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 22 ДЗМ";"Зеленоградский административный округ";"район Крюково";"124617";"город Зеленоград, корпус 1460";"Перевертов Алексей Альбертович";"главный врач";"мужской";"(499) 717-03-31";"(499) 717-01-73";"(499) 717-90-07";"info@pnd22.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: с Ленинградского вокзала до станции Крюково Октябрьской ж/д, затем автобусами 5, 16, 17, 18, 20, 22 до остановки «Дежурная аптека».";"37.163853";"55.984594";"85130976";
22;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 23 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 23 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Центральный административный округ";"район Хамовники";"119021";"Фрунзенская набережная, дом 24/1";"Киселев Дмитрий Николаевич";"заведующий филиалом";"мужской";"(499) 242-47-35";"(499) 242-56-88";"(499) 242-47-35";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.587281";"55.725577";"85130977";
23;"Государственное бюджетное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 24 филиал Психиатрической клинической больницы № 1 имени Н. А. Алексеева Департамента здравоохранения города Москвы»";"ГБУЗ ПНД № 24 филиал ПКБ № 1 им. Н. А. Алексеева ДЗМ";"Западный административный округ";"район Ново-Переделкино";"119634";"Боровское шоссе, дом 54";"Березкин Александр Сергеевич";"заведующий филиалом";"мужской";"(495) 733-52-48";"(495) 733-52-45";"(495) 733-52-45";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"психоневрологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.345994";"55.635604";"85130978";
24;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Юго-Восточному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ЮВАО МНПЦ БТ ДЗМ";"Юго-Восточный административный округ";"район Текстильщики";"109129";"8-я улица Текстильщиков, дом 2";"Волошина Евгения Петровна";"заведующий филиалом";"женский";"(499) 178-61-55";"(499) 179-60-10";"(499) 178-61-55";"info@ptd2.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: ст. метро «Текстильщики» первый вагон из центра, выход из перехода направо, далее пешком через стадион АЗЛК.";"37.739024";"55.704254";"85130979";
25;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Юго-западному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ЮЗАО МНПЦ БТ ДЗМ";"Юго-Западный административный округ";"район Черёмушки";"117209";"Севастопольский проспект, дом 26";"Мохирева Людмила Викентьевна";"заведующий филиалом";"женский";"(499) 120-41-09";"(499) 120-92-83";"(499) 128-33-45";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: От ст. м. «Профсоюзная», трол. 85, 49 , авт. 168, 57. От ст.м. «Каховка», авт. 826, 57. От ст. м. «Нагорная» авт. 258 до ост. «Зюзинская улица».";"37.58071";"55.667168";"85130980";
26;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Южному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ЮАО МНПЦ БТ ДЗМ";"Южный административный округ";"район Нагатинский Затон";"115142";"улица Речников, дом 25";"Климов Григорий Владимирович";"заведующий филиалом";"мужской";"(499) 618-59-24";"(499) 614-63-15";"(499) 614-63-15";"info@ptd5.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. «Коломенская», первый вагон из центра, выход к кинотеатру «Орбита», авт. № 670, 724, 751 до остановки «Диспансер».";"37.68977";"55.677578";"85130981";
27;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Центральныому административного округа Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ЦАО МНПЦ БТ ДЗМ";"Центральный административный округ";"Басманный район";"105005";"улица Радио, дом 18";"Ясюченя Татьяна Владимировна";"заведующий филиалом";"женский";"(499) 267-84-01";"(499) 261-09-45";"(499) 267-84-01";"info@ptd7.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: метро Бауманская, далее трамвай № 45, 50 до ост. ""ул. Радио"" или метро Курская (кольцевая), метро Чкаловская, далее трамвай № 45,50 до ост. ""ул. Радио"".";"37.680751";"55.762797";"85130983";
28;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Северо-Западному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по СЗАО МНПЦ БТ ДЗМ";"Северо-Западный административный округ";"район Щукино";"123182";"Щукинская улица, дом 38";"Косырева Ирина Евгеньевна";"заведующий филиалом";"женский";"(499) 190-01-56";"(499) 190-04-11";"(499) 720-41-85";"info@ptd13.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: ст. метро «Щукинская», далее пешком по ул. Щукинская по левой стороне, не доходя до Центрального Военного Госпиталя ФСБ РФ, повернуть налево.";"37.468894";"55.809341";"85130987";
29;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Западному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ЗАО МНПЦ БТ ДЗМ";"Западный административный округ";"район Фили-Давыдково";"121108";"Тарутинская улица, дом 2";"Воробьева Татьяна Ивановна";"заведующий филиалом";"женский";"(499) 144-16-21";"(499) 142-87-34";"(499) 144-14-81";"info@ptd14.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.472996";"55.731615";"85130988";
