ROWNUM;CommonName;FullName;ShortName;ChiefOrgAdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;NumberOfHalls;TotalSeatsAmount;X_WGS;Y_WGS;GLOBALID;
11;Кинотеатр;Формула Кино Сити;;;Центральный административный округ;Пресненский район;Пресненская наб., д.2;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.53947;55.749041;85988579;
12;Кинотеатр;Синема Парк на Южной;;;Южный административный округ;район Чертаново Северное;Днепропетровская, д.2;;;(495) 644 41 11;;info@cinemapark.ru;;;cinemapark.ru;;-1;-1;-1;37.603869;55.623032;85988580;
13;Кинотеатр;Кинозал ГУМа;;;Центральный административный округ;Тверской район;Красная пл., д.3;;;(495) 788 43 43, 620 30 62;;INFO@GUM.RU;;;gum.ruprojects/kinozal;;-1;-1;-1;37.621448;55.754695;85988581;
14;Кинотеатр;Мир искусства;;;Центральный административный округ;Тверской район;Долгоруковская, д.33, стр. 3;;;(499) 978 66 19, 978 69 89;;;;;chronotop.ru;;-1;-1;-1;37.600741;55.777473;85988582;
15;Кинотеатр;Кино на Алтуфьевском;;;Северо-Восточный административный округ;район Отрадное;Алтуфьевское ш., д.8;;;(495) 287 32 17, 287 32 18;;;;;kino-a8.ru;;-1;-1;-1;37.585746;55.852809;85988583;
16;Кинотеатр;Кинозал Домжур;;;Центральный административный округ;Пресненский район;Никитский б-р, д.8а;;;(495) 691 56 98, 222 10 60;;;;;arbatkino.ru, domjour.livejournal.com;;-1;-1;-1;37.601569;55.753894;85988584;
17;Кинотеатр;Kinostar De Lux Теплый Стан;;;Юго-Западный административный округ;район Тёплый Стан;41-й км МКАД, ТРК «Мега»;;;(495) 775 44 77, 775 44 99;;feedback@cinemapark.ru.;;;cinemapark.ru;;-1;-1;-1;37.491336;55.603768;85988585;
18;Кинотеатр;35ММ;;;Центральный административный округ;Басманный район;ул. Покровка, д.47;;;(495) 780 91 45;;info@coolconnections.ru;;;kino35mm.ru;;-1;-1;-1;37.654062;55.763637;85988586;
19;Кинотеатр;Музей кино в ЦДХ;;;Центральный административный округ;район Якиманка;ул. Крымский Вал, д.10;;;(499) 238 96 34;;pr_museikino@mail.ru;;;museikino.ru;;-1;-1;-1;37.605768;55.735017;85988587;
20;Кинотеатр;Кронверк Синема Облака;;;Южный административный округ;район Зябликово;Ореховый б-р, д.22а;;;(495) 775 68 35;;info@kronverkcinema.ru;;;kronverkcinema.ru;;-1;-1;-1;37.732685;55.612047;85988588;
21;Кинотеатр;Формула Кино Чертаново;;;Южный административный округ;район Чертаново Северное;ул. Северное Чертаново, д.1а;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.598932;55.636975;85988589;
22;Кинотеатр;Синема Парк Старлайт на Багратионовской;;;Западный административный округ;район Филёвский Парк;Багратионовский пр-д, д.5;;;(495) 644 41 11;;info@cinemapark.ru;;;cinemapark.rumultiplexes/show/14;;-1;-1;-1;37.508108;55.743715;85988590;
23;Кинотеатр;Кинематограф (Зеленоград);;;Зеленоградский административный округ;район Силино;Зеленоград, Панфиловский пр-т, д.159;;;(915) 315 34 99;;;;;zelkino.ru;;-1;-1;-1;37.202939;56.009141;85988591;
24;Кинотеатр;Каро Фильм на Вернадского;;;Западный административный округ;район Раменки;пр-т Вернадского, д.6;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.527939;55.692135;85988592;
25;Кинотеатр;Люксор Vegas;;;Южный административный округ;район Орехово-Борисово Южное;24-й км МКАД, ТРК «Vegas»;;;(495) 984 72 89, 984 72 88;;;;;luxorfilm.ru;;-1;-1;-1;37.724572;55.588124;85988593;
26;Кинотеатр;Час кино Свиблово;;;Северо-Восточный административный округ;район Свиблово;ул. Снежная, д.27, ТК «Свиблово»;;;(499) 685 16 51, 685 16 52;;;;;tk-chaspik.rukinoteatr/chaskinovtksviblovo.aspx;;-1;-1;-1;37.653497;55.85637;85988594;
27;Кинотеатр «Звезда»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Звезда»;ГБУК г. Москвы «Московское кино», Кинотеатр «Звезда»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Центральный административный округ;Басманный район;улица Земляной Вал, дом 18-22, строение 2;Орестова Василиса Руслановна;директор;(495) 951-94-20;(495) 951-94-20;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;1;180;37.657054;55.759789;87036577;
28;Кинотеатр «Круговая кинопанорама»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Круговая кинопанорама»;ГБУК г. Москвы «Московское кино», Кинотеатр «Круговая кинопанорама»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Северо-Восточный административный округ;Останкинский район;проспект Мира, дом 119, строение 541;Орестова Василиса Руслановна;директор;(499) 369-77-82;"(499) 369-77-51; (499) 369-77-82";mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;1;300;37.629865;55.827091;87036578;
29;Кинотеатр «Художественный»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Художественный»;ГБУК г. Москвы «Московское кино», Кинотеатр «Художественный»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Центральный административный округ;район Арбат;Арбатская площадь, дом 14, строение 1;Орестова Василиса Руслановна;директор;(495) 951-94-20;(495) 951-94-20;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;5;766;37.602036;55.752389;87036592;
30;Кинотеатр «Салют»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Салют»;ГБУК г. Москвы «Кинообъединение», Кинотеатр «Салют»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Юго-Западный административный округ;Академический район;улица Кедров, дом 14, корпус 3;Преториус Лариса Константиновна;директор;"(499) 125-04-48; (499) 125-01-35";(499) 125-04-48;salut-cinema@mail.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;salut-cinema.ru;11472883;7727251063;2;204;37.571299;55.682807;87036596;
31;Кинотеатральный центр «Эльдар»;Государственное бюджетное учреждение культуры города Москвы «Кинотеатральный центр «Эльдар»;ГБУК г. Москвы «Кинотеатральный центр «Эльдар»;;Юго-Западный административный округ;Обручевский район;Ленинский проспект, дом 105;Бригадиров Андрей Николаевич;директор;"(495) 735-99-77; (495) 735-99-88";(495) 735-99-79;kin-eldar@yandex.ru;"понедельник 10:00-20:00; вторник 10:00-20:00; среда 10:00-20:00; четверг 10:00-20:00; пятница 10:00-20:00; суббота 10:00-20:00; воскресенье 10:00-20:00";;kinoclub-eldar.ru;75605063;7728536689;3;729;37.513398;55.665295;87036597;
32;Кинотеатр «Вымпел»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Вымпел»;ГБУК г. Москвы «Кинообъединение», Кинотеатр «Вымпел»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Северо-Восточный административный округ;Бабушкинский район;улица Коминтерна, дом 8;Федотова Светлана Геннадьевна;директор;(499) 184-41-09;(499) 184-41-09;vympel-sv@yandex.ru;"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:00-22:00";;vympel-kino.ru;11405378;7716234933;2;162;37.676551;55.861865;87036571;
33;Кинотеатр «Спутник»;Государственное бюджетное учреждение культуры города Москвы «Московское кино», Кинотеатр «Спутник»;ГБУК г. Москвы «Московское кино», Кинотеатр «Спутник»;Государственное бюджетное учреждение культуры города Москвы «Московское кино»;Юго-Восточный административный округ;район Лефортово;Солдатская улица, дом 15;Орестова Василиса Руслановна;директор;(495) 951-94-20;(495) 951-94-20;mos-kino@yandex.ru;"понедельник 10:00-23:00; вторник 10:00-23:00; среда 10:00-23:00; четверг 10:00-23:00; пятница 10:00-23:00; суббота 10:00-23:00; воскресенье 10:00-23:00";;mos-kino.ru;2375201;7719765428;1;392;37.705595;55.764365;87036586;
34;Кинотеатр «Молодежный»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи», Кинотеатр «Молодежный»;ГБУК г.Москвы «Кинообъединение», Кинотеатр «Молодежный»;Государственное бюджетное учреждение культуры города Москвы «Кинообъединение для детей и молодежи»;Юго-Восточный административный округ;район Текстильщики;Люблинская улица, дом 11;Чмырь Татьяна Ивановна;директор;(499) 177-71-60;(499) 493-94-36;1779701@mail.ru;"понедельник 10:00-22:00; вторник 10:00-22:00; среда 10:00-22:00; четверг 10:00-22:00; пятница 10:00-22:00; суббота 10:00-22:00; воскресенье 10:30-22:00";;molod-cinema.ru;13180207;7722018000;2;359;37.731486;55.710879;87036595;
35;Кинотеатр;5 звезд на Новокузнецкой;;;Центральный административный округ;район Замоскворечье;Большой Овчинниковский пер., д.16;;;(495) 916 91 69, 510 28 88;;secretar@paradisegroup.ru;;;5zvezd.ru;;-1;-1;-1;37.630199;55.744502;85988595;
36;Кинотеатр;Кронверк Синема Семеновский;;;Восточный административный округ;район Соколиная Гора;Семеновская пл., д.1;;;(495) 660 02 65;;e-mail:info@kronverkcinema.ru;;;kronverkcinema.ru;;-1;-1;-1;37.720992;55.782924;85988596;
37;Кинотеатр;Кронверк Синема Вэйпарк;;;Северо-Западный административный округ;район Северное Тушино;71-й км МКАД, ТЦ «Вэйпарк»;;;(495) 287 16 93, 287 16 95;;e-mail:info@kronverkcinema.ru;;;kronverkcinema.ru;;-1;-1;-1;37.395177;55.858935;85988597;
38;Кинотеатр;Кинотеатр Музеон;;;Центральный административный округ;район Якиманка;Крымский Вал, д.10;;;(499) 238 33 96;;;;;muzeoncinema.ru;;-1;-1;-1;37.605768;55.735017;85988598;
39;Кинотеатр;Динамит;;;Юго-Восточный административный округ;район Выхино-Жулебино;Жулебинский б-р, д.5;;;(495) 706 58 60;;;;;dinamit-kino.ru;;-1;-1;-1;37.844578;55.698707;85988599;
40;Кинотеатр;Жанр;;;Центральный административный округ;район Арбат;Смоленская пл., д.13/21;;;(495) 724 05 93;;;;;zhanrkino.ru;;-1;-1;-1;37.582189;55.749541;85988600;
41;Кинотеатр;Триумф;;;Юго-Западный административный округ;Гагаринский район;ул. Вавилова, д.66, стр. 1;;;(495) 739 89 78, 739 87 33;;;;;kinoafisha.msk.rucinema/1387770/;;-1;-1;-1;37.549196;55.683084;85988601;
42;Кинотеатр;Времена года;;;Западный административный округ;район Фили-Давыдково;Кутузовский пр-т, д.48;;;(495) 589 19 19;;;;;vremenagoda-cinema.ru;;-1;-1;-1;37.487413;55.731743;85988602;
43;Кинотеатр;Формула Кино на Можайке;;;Западный административный округ;Можайский район;53-й км МКАД, напротив «Ашана»;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.rucgi-bin/show.pl?option=cinema_description&id=38;;-1;-1;-1;37.389051;55.705657;85988603;
44;Кинотеатр;Каро Фильм Иридиум;;;Зеленоградский административный округ;район Силино;Зеленоград, Крюковская пл., д.1;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.rutheatres/5;;-1;-1;-1;37.174932;55.982678;85988604;
45;Кинотеатр;Киноцентр XL;;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, г. Мытищи, ул. Коммунистическая, д.1;;;(495) 789 96 91;;;;;xl-kino.ru;;-1;-1;-1;37.578991;55.506471;85988605;
46;Кинотеатр;Арт-кино;;;Восточный административный округ;район Сокольники;Сокольническая пл., д.7;;;(495) 640 23 21;;info@artkinoclub.ru;;;artkinoclub.ru;;-1;-1;-1;37.679935;55.791651;85988606;
47;Кинотеатр;Кинотеатр Пионер летний;;;Центральный административный округ;район Якиманка;Крымский Вал, д.9;;;(495) 755 00 32;;info@park-gorkogo.com;;;park-gorkogo.com/cinema/;;-1;-1;-1;37.603441;55.731412;85988607;
48;Кинотеатр;4D Cinema на Пресненском Валу;;;Центральный административный округ;Пресненский район;Пресненский Вал, д.14/1;;;(495) 234 18 18, доб. 259;;mr@4dstereo.com;;;4dstereo.com;;-1;-1;-1;37.564865;55.766536;85988608;
49;Кинотеатр;Киноклуб Докер;;;Центральный административный округ;Пресненский район;Никитский б-р, д.8а;;;(910) 434 74 76, (926) 565 94 07;;info@dokerproject.ru;;;dokerproject.ru;;-1;-1;-1;37.601537;55.753989;85988609;
50;Кинотеатр;Под куполом;;;Центральный административный округ;Мещанский район;Олимпийский пр-т, д.18/1;;;(495) 931 98 73;;;;;domecinema.ru;;-1;-1;-1;37.623847;55.785101;85988686;
51;Кинотеатр;Космос;;;Северо-Восточный административный округ;Останкинский район;пр-т Мира, д.109;;;(495) 683 86 67, 227 36 64;;admin@kinokosmos.ru;;;kinokosmos.ru;;-1;-1;-1;37.636783;55.81869;85988687;
52;Кинотеатр;Люксор в Отрадном;;;Северо-Восточный административный округ;район Отрадное;ул. Декабристов, д.12;;;(495) 363 02 12, 363 02 11;;;;;luxorfilm.ru;;-1;-1;-1;37.60203;55.863231;85988688;
53;Кинотеатр;Алмаз Синема Мечта;;;Южный административный округ;район Москворечье-Сабурово;Каширское ш., д.42, корп. 1;;;(495) 221 52 21, (499) 324 53 49;;info@almazcinema.ru;;;almazcinema.ru;;-1;-1;-1;37.662081;55.648616;85988689;
54;Кинотеатр;Саяны;;;Восточный административный округ;район Ивановское;ул. Саянская, д.9;;;(495) 307 89 13;;;;;;;-1;-1;-1;37.832712;55.768337;85988690;
55;Кинотеатр;Щелково (Щелково);;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, г.Щелково, Пролетарский пр-т, д.10;;;(496) 569 23 33, 562 14 66;;;;;kemp-kino.ru;;-1;-1;-1;37.655513;55.645094;85988691;
56;Кинотеатр;Под открытым небом;;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, д.Бородино, Осташковское ш., д.59;;;(905) 502 55 19;;;;;kino-borodino.ru;;-1;-1;-1;37.66496;55.918534;85988692;
57;Кинотеатр;Кронверк Синема МДМ;;;Центральный административный округ;район Хамовники;Комсомольский пр-т, д.28;;;(495) 782 88 33, 782 88 36;;info@kronverkcinema.ru;;;kronverkcinema.ru;;-1;-1;-1;37.579731;55.72699;85988693;
58;Кинотеатр;Бумеранг на Теплом Стане;;;Юго-Западный административный округ;район Ясенево;Профсоюзная ул., д.129а;;;(495) 987 16 41, 987 16 42;;;;;princeplaza.rucinema_bumerang.ru;;-1;-1;-1;37.507395;55.618386;85988694;
59;Кинотеатр;Победа;;;Центральный административный округ;Таганский район;ул. Абельмановская, д.17а;;;(495) 793 30 43;;cinema@pobeda-cinema.ru;;;pobeda-cinema.ru;;-1;-1;-1;37.67085;55.734519;85988695;
60;Кинотеатр;Киноконцертный зал Орион;;;Северо-Восточный административный округ;Лосиноостровский район;ул. Летчика Бабушкина, д.26;;;495 665-13-54;;;;;luxorfilm.ru;;-1;-1;-1;37.677211;55.869138;85988696;
61;Кинотеатр;Киноконцертный зал Гавана (кинотеатр);;;Северо-Восточный административный округ;район Марьина Роща;ул. Шереметьевская, д.2, стр.1;;;495 665-13-54;;;;;luxorfilm.ru;;-1;-1;-1;37.618912;55.793693;85988697;
62;Кинотеатр;Ханой;;;Юго-Западный административный округ;район Ясенево;Литовский б-р, д.7;;;;;;;;;;-1;-1;-1;37.538776;55.613753;85988698;
63;Кинотеатр;Кунцево;;;Западный административный округ;район Кунцево;ул. Ивана Франко, д.14;;;;;;;;;;-1;-1;-1;37.440826;55.728545;85988699;
64;Кинотеатр;Балтика;;;Северо-Западный административный округ;район Южное Тушино;ул. Сходненская, д.54;;;;;;;;baltika-kino.ru;;-1;-1;-1;37.440529;55.849201;85988700;
65;Кинотеатр;Ангара;;;Южный административный округ;Нагорный район;Чонгарский б-р, д.7;;;;;;;;;;-1;-1;-1;37.61243;55.651412;85988701;
66;Кинотеатр;Аврора;;;Юго-Западный административный округ;район Тёплый Стан;ул. Профсоюзная д.154;;;;;;;;;;-1;-1;-1;37.504649;55.621536;85988702;
67;Кинотеатр;Ашхабад;;;Южный административный округ;район Чертаново Северное;ул. Чертановская, д.17а;;;;;;;;;;-1;-1;-1;37.597643;55.623983;85988703;
68;Кинотеатр;Будапешт;;;Северо-Восточный административный округ;район Бибирево;ул. Лескова, д.14;;;(495) 405-99-33;;info@centerfilm.ru;;;centerfilm.ru;;-1;-1;-1;37.604517;55.897364;85988704;
69;Кинотеатр;Варшава;;;Северный административный округ;Войковский район;пл. Ганецкого, д.1;;;(495) 509 51 85;;;;;kino-4d.ru;;-1;-1;-1;37.500471;55.820153;85988705;
70;Кинотеатр;Волгоград;;;Юго-Восточный административный округ;район Выхино-Жулебино;ул. Ферганская, д.17;;;;;;;;;;-1;-1;-1;37.819296;55.706383;85988706;
71;Кинотеатр;Высота;;;Юго-Восточный административный округ;район Кузьминки;ул. Юных Ленинцев, д.52;;;(495) 663-63-71;;info@centerfilm.ru;;;centerfilm.ru;;-1;-1;-1;37.765406;55.699816;85988707;
72;Кинотеатр;Керчь;;;Южный административный округ;район Бирюлёво Восточное;ул. Бирюлевская, д.17;;;(495) 916-916-9;;secretar@paradisegroup.ru;;;5zvezd.ru;;-1;-1;-1;37.664086;55.595541;85988708;
73;Кинотеатр;Комсомолец;;;Северный административный округ;Тимирязевский район;Дмитровское ш., д.49, корп. 1;;;;;;;;;;-1;-1;-1;37.569066;55.840845;85988709;
74;Кинотеатр;Орбита;;;Южный административный округ;район Нагатинский Затон;пр-т Андропова, д.27;;;(499) 615-65-60;;;;;orbitacinema.ru;;-1;-1;-1;37.665338;55.676299;85988710;
75;Кинотеатр;Орленок;;;Восточный административный округ;район Сокольники;ул. Русаковская, д.23;;;433-46-01;;orlenok-kino@mail.ru;;;orlenok-kino.ru;;-1;-1;-1;37.675835;55.785965;85988711;
76;Кинотеатр;Первомайский;;;Восточный административный округ;район Восточное Измайлово;ул. Первомайская, д.93;;;;;;;;;;-1;-1;-1;37.806457;55.793904;85988712;
77;Кинотеатр;Полярный;;;Северо-Восточный административный округ;район Южное Медведково;ул. Полярная, д.9;;;;;;;;;;-1;-1;-1;37.635996;55.874362;85988713;
78;Кинотеатр;Планета;;;Западный административный округ;район Очаково-Матвеевское;ул. Нежинская, д.11, стр. 1;;;;;;;;;;-1;-1;-1;37.473966;55.707688;85988714;
79;Кинотеатр;Родина;;;Восточный административный округ;район Соколиная Гора;ул. Измайловский вал, д.5;;;(499) 369 07 93;;;;;;;-1;-1;-1;37.717871;55.78161;85988715;
80;Кинотеатр;Слава;;;Восточный административный округ;район Перово;ш. Энтузиастов, д.58;;;;;;;;;;-1;-1;-1;37.773299;55.761794;85988716;
81;Кинотеатр;Тбилиси;;;Юго-Западный административный округ;район Черёмушки;ул. Новочеремушкинская, д.53а;;;;;;;;;;-1;-1;-1;37.569839;55.671739;85988717;
82;Кинотеатр;Экран;;;Юго-Восточный административный округ;район Марьино;Новочеркасский б-р, д.21а;;;(495) 356 88 01, 349 19 20;;;;;ekran-kino.ru;;-1;-1;-1;37.727817;55.647916;85988718;
83;Кинотеатр;ГУП г. Москвы « Обьедененная дирекция по управлению имущественным комплексом киносетей» кинотеатр Ударник;;;Центральный административный округ;район Якиманка;ул. Серафимовича, д.2;;;959-31-54;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.612429;55.744211;85988719;
84;Кинотеатр;Коиноцентр «Пушкинский»;;;Центральный административный округ;Тверской район;Пушкинская пл., д.2;;;(495) 699-98-37;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.607422;55.766201;85988720;
85;Кинотеатр;Территория 5D;;;Южный административный округ;Донской район;ул. Вавилова, д.3;;;(495) 764 12 76;;;;;5-d.ru;;-1;-1;-1;37.592119;55.706871;85988610;
86;Кинотеатр;Вдох/выдох;;;Южный административный округ;Даниловский район;ул. Большая Тульская, д.11;;;(903) 678 19 02;;breath-exhalation@gmail.com;;;breath-exhalation.ru;;-1;-1;-1;37.623888;55.7101;85988611;
87;Кинотеатр;Kinoklub;;;Центральный административный округ;Басманный район;ул. Нижнаяя Сыромятническая, д.10, стр. 3;;;(495) 664 39 80;;;;;kknw.ru;;-1;-1;-1;37.669572;55.751726;85988612;
88;Кинотеатр;Drive VV;;;Юго-Восточный административный округ;Нижегородский район;Рязанский пр-т, д.2, корп. 2;;;(916) 587 59 32;;;;;afisha.rumsk/cinema/4247/;;-1;-1;-1;37.731158;55.729804;85988613;
89;Кинотеатр;Победа (Домодедово);;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, г. Домодедово, пл. 30-летия Победы, д.2;;;(496) 793 30 43;;;;;pro-domodedovo.rucompany/34-kinoteatr-pobeda;;-1;-1;-1;37.771128;55.569463;85988614;
