region,city,address,installplace,int_cards_support,sbercart,american_express,for_organizations,accepts_money,prints_onepass,access,comments,bank_code,bank_name,org_id,org_name,phone
г. Москва,г. Зеленоград,"ал. Сосновая, , к. 601","Сбербанк России, Филиал № 7954/1185",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7353527
г. Москва,г. Зеленоград,"ал. Яблоневая, 317а","Аптека ""Ригла""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"Зеленоград, к. 900",ТЦ Семейный,да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,к. 1462,"Сбербанк России, Филиал № 7954/1770",да,нет,да,да,да,да,в режиме работы подразделения,Ст. м. Речной вокзал,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7288625
г. Москва,г. Зеленоград,к. 1627,"Магазин ""Пятерочка""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,к. 1640,"Сбербанк России, Филиал № 7954/1721",да,да,да,да,нет,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,к. 1640,"Сбербанк России, Филиал № 7954/1721",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,к. 1812,"Сбербанк России, Филиал № 7954/1604",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,к. 1812,"Сбербанк России, Филиал № 7954/1604",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,к. 1812,"Сбербанк России, Филиал № 7954/1604",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Речной вокзал,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,к. 249,"Сбербанк России, Филиал № 7954/1776",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7357010
г. Москва,г. Зеленоград,к. 249,"Сбербанк России, Филиал № 7954/1776",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,к. 249,"Сбербанк России, Филиал № 7954/1776",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,к. 445,"Сбербанк России, Филиал № 7954/1160",да,да,да,да,да,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7108546
г. Москва,г. Зеленоград,к. 514,"Сбербанк России, Филиал № 7954/1131",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7344420
г. Москва,г. Зеленоград,к. 527,"Магазин ""Утконос"", 5 мкр",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,к. 812,"Сбербанк России, Филиал № 7954/1301",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7318411
г. Москва,г. Зеленоград,корп. 426А,"Магазин ""Квартал""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"пл. Крюковская, 1",ТЦ Иридиум,да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"пл. Крюковская, 1",ТЦ Иридиум,да,да,да,да,да,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"пл. Крюковская,1","ТЦ ""Иридиум""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"пл. Крюковская,к. 834","ТЦ ""Лада""",да,нет,да,да,да,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,"пл. Привокзальная, 1","ТК ""Зеленоградский""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"пл. Юности, 2, стр. 1","Магазин ""Форум""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"Привокзальная площадь, 1","ТК ""Зеленоградский""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"проезд 4806-й, 4806, к. 6","ООО ""Энерго-Капитал""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"проезд Западный 3-й,12",Хлебзавод 28,да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,"пр-т  Панфиловский, к. 1004","Сбербанк России, Филиал № 7954/1389",да,да,да,да,да,да,24 часа,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7318000
г. Москва,г. Зеленоград,"пр-т Панфиловский,  к. 1561б","Сбербанк России, Филиал № 7954/1559",да,да,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7335042
г. Москва,г. Зеленоград,"пр-т Панфиловский, , к. 1106","Сбербанк России, Филиал № 7954/1016",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7329652
г. Москва,г. Зеленоград,"пр-т Панфиловский, к. 1004","Сбербанк России, Филиал № 7954/1389",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7318000
г. Москва,г. Зеленоград,"пр-т Панфиловский, к. 1801",ТЦ Атак,да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"пр-т Панфиловский,1","""Международный торговый дом""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,"пр-т Центральный,1",Префектура г.Зеленоград,да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)7448343
г. Москва,г. Зеленоград,"пр-т Центральный,к. 117","Магазин ""Элефант""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7288628
г. Москва,г. Зеленоград,"пр-т Центральный,к. 445","Сбербанк России, Филиал № 7954/1160",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7108546
г. Москва,г. Зеленоград,"ул. Панфилова,28а",УВД Зеленоград,да,нет,да,да,да,да,в режиме работы организации,,99,Сбербанк России,7954,Зеленоградское ОСБ,(495)5000005
г. Москва,г. Зеленоград,"ул. Юности, 315","Сбербанк России, Филиал № 7954/1110",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,7954,Зеленоградское ОСБ,(499)7352760
г. Москва,г. Котельники,"ш. Новорязанское, 5",ООО гипермаркет РЕАЛ,да,да,да,да,да,да,в режиме работы организации,Ст. м. Кузьминки,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"94 км МКАД,","автосалон ""АВТОМИР""",да,да,да,да,нет,да,в режиме работы организации,Ст. м. Бабушкинская,99,Сбербанк России,5281,Стромынское ОСБ,(495)5000005
г. Москва,г. Москва,"ал. Березовая, 9","Сбербанк России, Филиал № 7981/1448",да,да,да,да,да,да,24 часа,,99,Сбербанк России,7981,Марьинорощинское ОСБ,(499)2021772
г. Москва,г. Москва,"ал. Березовая,9,стр. 2","Сбербанк России, Филиал № 7981/1448",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,7981,Марьинорощинское ОСБ,(495)5000005
г. Москва,г. Москва,"ал. Березовая,вл. 5а Стр 5",Корпорация ДНК,да,нет,да,да,да,да,в режиме работы организации,Ст. м. Отрадное,99,Сбербанк России,7981,Марьинорощинское ОСБ,(499)7448343
г. Москва,г. Москва,Аэропорт Шереметьево-1,ОАО Аэропорт-Москва грузовой терминал,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Речной вокзал,99,Сбербанк России,1569,Краснопресненское ОСБ,(495)5000005
г. Москва,г. Москва,"Б. Семеновская, 29/2, стр. 1","Сбербанк России, Филиал № 5281/1714",да,да,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,5281,Стромынское ОСБ,(499)3691933
г. Москва,г. Москва,"бул.  Бескудниковский,  59",ФГУ МНТК Микрохирургия глаза,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Тимирязевская,99,Сбербанк России,7981,Марьинорощинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул.  Кронштадский,  9",ОАО Автокомбинат №8,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Водный стадион,99,Сбербанк России,7982,Тверское ОСБ,(495)5000005
г. Москва,г. Москва,"бул.  Новочеркасск.,  5, стр. 1","Сбербанк России, Филиал № 7977/1426",да,да,да,да,нет,да,24 часа,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)2374261
г. Москва,г. Москва,"бул.  Чистопрудный,  19","Московский театр ""Современник""",да,да,да,да,нет,да,в режиме работы организации,Ст. м. Чистые пруды,99,Сбербанк России,7811,Мещанское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Адмирала Ушакова, 5","Сбербанк России, Филиал № 7978/1631",да,да,да,да,да,да,24 часа,Ст. м. Скобелевская,99,Сбербанк России,7978,Царицынское ОСБ,(495)7162518
г. Москва,г. Москва,"бул. Адмирала Ушакова, 5","Сбербанк России, Филиал № 7978/1631",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Улица Скобелевская,99,Сбербанк России,7978,Царицынское ОСБ,(495)7162518
г. Москва,г. Москва,"бул. Адмирала Ушакова, 5","Сбербанк России, Филиал № 7978/1631",да,да,да,да,нет,да,24 часа,Ст. м. Скобелевская,99,Сбербанк России,7978,Царицынское ОСБ,(495)7162554
г. Москва,г. Москва,"бул. Адмирала Ушакова,5","Сбербанк России, Филиал № 7978/1631",да,нет,да,да,да,да,24 часа,Ст. м. Скобелевская,99,Сбербанк России,7978,Царицынское ОСБ,(495)7162554
г. Москва,г. Москва,"бул. Адмирала Ушакова,5","Сбербанк России, Филиал № 7978/1631",да,нет,да,да,да,да,в режиме работы подразделения,Ст. м. Скобелевская,99,Сбербанк России,7978,Царицынское ОСБ,(495)7162554
г. Москва,г. Москва,"бул. Бескудниковский, 40, к. 3","Сбербанк России, Филиал № 7982/1164",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,7982,Тверское ОСБ,(499)9008122
г. Москва,г. Москва,"бул. Бескудниковский, 55",маг-н Копейка,да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7982,Тверское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Бескудниковский,40,к. 3","Сбербанк России, Филиал № 7982/1164",да,нет,да,да,да,да,24 часа,,99,Сбербанк России,7982,Тверское ОСБ,(499)9008122
г. Москва,г. Москва,"бул. Волжский,113а,к. 2","Сбербанк России, Филиал № 6901/1084",да,да,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,6901,Лефортовское ОСБ,(499)1767520
г. Москва,г. Москва,"бул. Волжский,113а,к. 2","Сбербанк России, Филиал № 6901/1084",да,да,да,да,да,да,в режиме работы подразделения,Ст. м. Текстильщики,99,Сбербанк России,6901,Лефортовское ОСБ,(499)1767520
г. Москва,г. Москва,"бул. Волжский,113а,к. 2","Сбербанк России, Филиал № 6901/1084",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Текстильщики,99,Сбербанк России,6901,Лефортовское ОСБ,(499)1767520
г. Москва,г. Москва,"бул. Волжский,114а",Супермаркет Оливье,да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Кузьминки,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5005550
г. Москва,г. Москва,"бул. Волжский,40",магазин Пятерочка,да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Кузьминки,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Волжский,95,к. 7",Пятерочка,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Волжская,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Гоголевский,16","ФГУ УЭЗ ""МИД""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Дмитрия Донского, 16","Аптека ""Ригла""",да,да,да,да,нет,да,в режиме работы организации,Ст. м. Бульвар Дмитрия Донского,99,Сбербанк России,7978,Царицынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Дмитрия Донского, 8, к. 1","ТЦ ""Клиффстор""",да,да,да,да,нет,да,в режиме работы организации,Ст. м. Бульвар Дмитрия Донского,99,Сбербанк России,7978,Царицынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Дмитрия Донского, 9, к. 1",магазин Пятерочка,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Бульвар Дмитрия Донского,99,Сбербанк России,7978,Царицынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Дмитрия Донского,15","магазин ""Пятерочка""",да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Бульвар Дмитрия Донского,99,Сбербанк России,7978,Царицынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Дмитрия Донского,8,к. 1","ТЦ ""Клиффстор""",да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Бульвар Дмитрия Донского,99,Сбербанк России,7978,Царицынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Жулебинский, 30, к. 1",магазин Копейка,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Выхино,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Жулебинский,36/1",магазин Пятерочка,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Выхино,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Жулебинский,9","Сбербанк России, Филиал № 6901/1584",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5005550
г. Москва,г. Москва,"бул. Жулебинский,9","Сбербанк России, Филиал № 6901/1584",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5005550
г. Москва,г. Москва,"бул. Жулебинский,9","Сбербанк России, Филиал № 6901/1584",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5005550
г. Москва,г. Москва,"бул. Жулебинский,9","Сбербанк России, Филиал № 6901/1584",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5005550
г. Москва,г. Москва,"бул. Жулебинский,9","Сбербанк России, Филиал № 6901/1584",да,нет,да,да,да,да,24 часа,,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5005550
г. Москва,г. Москва,"бул. Звездный,15",МОСВОДОКАНАЛ,да,нет,да,да,да,да,в режиме работы организации,Ст. м. Алексеевская,99,Сбербанк России,7981,Марьинорощинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Измайловский, 18","магазин ""Универсам""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,5281,Стромынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Измайловский, 31","Сбербанк России, Филиал № 5281/0496",да,да,да,да,да,да,24 часа,Ст. м. Измайловская,99,Сбербанк России,5281,Стромынское ОСБ,(495)4651352
г. Москва,г. Москва,"бул. Измайловский, 60/10",магазин Билла,да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,6901,Лефортовское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Измайловский, 66","Сбербанк России, Филиал № 5281/1014",да,да,да,да,да,да,в режиме работы подразделения,Ст. м. Первомайская,99,Сбербанк России,5281,Стромынское ОСБ,(495)4656001
г. Москва,г. Москва,"бул. Измайловский,31/14,стр. 1","Сбербанк России, Филиал № 5281/0496",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Первомайская,99,Сбербанк России,5281,Стромынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Измайловский,66","Сбербанк России, Филиал № 5281/1014",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,5281,Стромынское ОСБ,(495)7852632
г. Москва,г. Москва,"бул. Кавказский,57",ТПО Комус,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Царицыно,99,Сбербанк России,7978,Царицынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Карельский, 5",маг-н Копейка,да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7982,Тверское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Коптевский, 11",маг-н Копейка,да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7982,Тверское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Кронштадтский,5б,стр. 1",ТЦ ПЕРСЕЙ,да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7982,Тверское ОСБ,(495)7448343
г. Москва,г. Москва,"бул. Кронштадтский,7",ТЦ Крона,да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,7981,Марьинорощинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Литовский,3а","гостиница ""Узкое"", холл",да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Ясенево,99,Сбербанк России,7813,Донское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Литовский,48","магазин ""Пятерочка""",да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Ясенево,99,Сбербанк России,7813,Донское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Маршала Рокоссовского, 18","Сбербанк России, Филиал № 5281/1075",да,да,да,да,да,да,24 часа,,99,Сбербанк России,5281,Стромынское ОСБ,(499)1602602
г. Москва,г. Москва,"бул. Маршала Рокоссовского, 18","Сбербанк России, Филиал № 5281/1075",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Улица Подбельского,99,Сбербанк России,5281,Стромынское ОСБ,(499)1602602
г. Москва,г. Москва,"бул. Маршала Рокоссовского, 31, стр. 1","магазин ""Копейка""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,5281,Стромынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Маршала Рокоссовского,31","ТД ""Славич""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,5281,Стромынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Маршала Рокоссовского,36","Универсам ""Славич""",да,да,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,5281,Стромынское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Мячковский, 16, к. 1","супермаркет ""АТАК""",да,да,да,да,нет,да,в режиме работы организации,Ст. м. Братиславская,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Никитский,10","Сбербанк России, Филиал № 1569/1758",да,нет,да,да,нет,да,в режиме работы подразделения,,99,Сбербанк России,1569,Краснопресненское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский, 14,","Сбербанк России, Филиал № 5278/0759",да,нет,да,да,да,да,в режиме работы подразделения,,99,Сбербанк России,5278,Киевское ОСБ,(499)2405647
г. Москва,г. Москва,"бул. Новинский,1/2","Сбербанк России, Филиал № 5278/5278",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,1/2","Сбербанк России, Филиал № 5278/5278",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,1/2","Сбербанк России, Филиал № 5278/5278",да,нет,да,да,да,да,24 часа,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,1/2","Сбербанк России, Филиал № 5278/5278",да,нет,да,да,да,да,24 часа,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,1/2","Сбербанк России, Филиал № 5278/5278",да,нет,да,да,да,да,24 часа,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,1/2","Сбербанк России, Филиал № 5278/5278",да,нет,да,да,нет,да,24 часа,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,31",Новинский Пассаж,да,да,да,да,нет,да,в режиме работы организации,Ст. м. Баррикадная,99,Сбербанк России,1569,Краснопресненское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новинский,8","ТЦ ""Лотте Плаза""",да,нет,да,да,нет,да,в режиме работы организации,,99,Сбербанк России,5278,Киевское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новочеркасск, 46, стр. 1","Сбербанк России, Филиал № 7977/1513",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)3495997
г. Москва,г. Москва,"бул. Новочеркасск, 5, стр. 3","Сбербанк России, Филиал № 7977/1426",да,да,да,да,нет,да,в режиме работы подразделения,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)3572051
г. Москва,г. Москва,"бул. Новочеркасский, 10, стр. 1",ТД Евромаг,да,да,да,да,да,да,в режиме работы организации,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новочеркасский, 36","магазин ""Копейка""",да,да,да,да,нет,да,в режиме работы организации,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новочеркасский,10,стр. 1","2-й этаж ТК ""ЕВРОМАГ"" справа от эскалатора",да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новочеркасский,20,к. 1",торговый зал,да,нет,да,да,нет,да,в режиме работы организации,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новочеркасский,41,к. 2","Сбербанк России, Филиал № 7977/1618",да,да,да,да,нет,да,24 часа,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)2374261
г. Москва,г. Москва,"бул. Новочеркасский,41,к. 2","Сбербанк России, Филиал № 7977/1618",да,нет,да,да,нет,да,в режиме работы подразделения,Ст. м. Марьино,99,Сбербанк России,7977,Люблинское ОСБ,(495)5000005
г. Москва,г. Москва,"бул. Новочеркасский,46,стр. 1","Сбербанк России, Филиал № 7977/1513",да,да,да,да,нет,да,24 часа,,99,Сбербанк России,7977,Люблинское ОСБ,(495)2374261
